Head,Parastichy,Direction,Floret,ZT,Length,Image Info,Stage,PW,Floret.Position
1,1,CW,1,2.5,9.947,LL30-18-1-26-1.jpg:1858-0500,S,2,3
1,1,CW,2,2.5,9.834,LL30-18-1-26-1.jpg:1942-0486,S,2,4
1,1,CW,3,2.5,9.518,LL30-18-1-26-1.jpg:2048-0435,S,2,5
1,1,CW,4,2.5,8.73,LL30-18-1-26-1.jpg:2442-0518,S,2,6
1,1,CW,5,2.5,7.769,LL30-18-1-26-1.jpg:2572-0450,S,2,7
1,1,CW,6,2.5,10.144,LL30-18-1-26-1.jpg:1117-1070,S,2,2
1,1,CW,7,2.5,9.868,LL30-18-1-26-1.jpg:1290-1074,S,2,2
1,1,CW,8,2.5,9.448,LL30-18-1-26-1.jpg:1468-1068,S,2,2
1,1,CW,9,2.5,9.835,LL30-18-1-26-1.jpg:1755-1077,S,2,3
1,1,CW,10,2.5,9.191,LL30-18-1-26-1.jpg:2136-1271,S,2,4
1,1,CW,11,2.5,9.07,LL30-18-1-26-1.jpg:2217-1227,S,2,5
1,1,CW,12,2.5,8.225,LL30-18-1-26-1.jpg:2381-1224,S,2,6
1,1,CW,13,2.5,7.656,LL30-18-1-26-1.jpg:2626-1219,S,2,7
1,1,CW,14,2.5,8.26,LL30-18-1-26-1.jpg:1713-2006,S,2,2
1,1,CW,15,2.5,8.856,LL30-18-1-26-1.jpg:1896-1987,S,2,3
1,1,CW,16,2.5,9.402,LL30-18-1-26-1.jpg:2186-1961,S,2,4
1,1,CW,17,2.5,9.498,LL30-18-1-26-1.jpg:2867-2059,S,2,5
1,1,CW,18,2.5,9.758,LL30-18-1-26-1.jpg:3025-1931,S,2,6
1,1,CW,19,2.5,9.509,LL30-18-1-26-1.jpg:3220-1758,S,2,7
1,1,CW,20,2.5,5.901,LL30-18-1-26-1.jpg:2927-0393,C,3,8
1,2,CW,1,2.5,9.766,LL30-18-1-26-2.jpg:0528-1121,S,2,2
1,2,CW,2,2.5,9.25,LL30-18-1-26-2.jpg:0743-1082,S,2,3
1,2,CW,3,2.5,9.442,LL30-18-1-26-2.jpg:1094-1215,S,2,4
1,2,CW,4,2.5,8.934,LL30-18-1-26-2.jpg:1408-1243,S,2,5
1,2,CW,5,2.5,8.41,LL30-18-1-26-2.jpg:1589-1245,S,2,6
1,2,CW,6,2.5,7.95,LL30-18-1-26-2.jpg:1825-1203,S,2,7
1,2,CW,7,2.5,5.858,LL30-18-1-26-2.jpg:2173-1311,C,3,8
1,2,CW,8,2.5,5.153,LL30-18-1-26-2.jpg:2284-1255,C,3,9
1,2,CW,9,2.5,4.844,LL30-18-1-26-2.jpg:2441-1189,C,3,10
1,2,CW,10,2.5,3.849,LL30-18-1-26-2.jpg:2833-1149,C,3,11
1,2,CW,11,2.5,8.607,LL30-18-1-26-2.jpg:1609-0228,S,2,4
1,2,CW,12,2.5,8.387,LL30-18-1-26-2.jpg:1777-0217,S,2,5
1,2,CW,13,2.5,7.678,LL30-18-1-26-2.jpg:2101-0274,S,2,6
1,2,CW,14,2.5,6.591,LL30-18-1-26-2.jpg:2354-0277,S,2,7
1,2,CW,15,2.5,5.09,LL30-18-1-26-2.jpg:2588-0246,C,3,8
1,2,CW,16,2.5,4.547,LL30-18-1-26-2.jpg:2830-0217,C,3,9
1,2,CW,17,2.5,4.164,LL30-18-1-26-2.jpg:3105-0179,C,3,10
1,2,CW,18,2.5,3.673,LL30-18-1-26-2.jpg:3252-0239,C,3,11
1,3,CW,1,2.5,9.452,LL30-18-1-26-3.jpg:0695-0478,S,2,2
1,3,CW,2,2.5,9.617,LL30-18-1-26-3.jpg:0836-0428,S,2,3
1,3,CW,3,2.5,9.381,LL30-18-1-26-3.jpg:0989-0374,S,2,4
1,3,CW,4,2.5,9.114,LL30-18-1-26-3.jpg:1123-0412,S,2,5
1,3,CW,5,2.5,8.915,LL30-18-1-26-3.jpg:1228-0418,S,2,6
1,3,CW,6,2.5,7.95,LL30-18-1-26-3.jpg:1399-0418,S,2,7
1,3,CW,7,2.5,5.947,LL30-18-1-26-3.jpg:1499-0421,C,3,8
1,3,CW,8,2.5,5.268,LL30-18-1-26-3.jpg:1581-0417,C,3,9
1,3,CW,9,2.5,4.548,LL30-18-1-26-3.jpg:1660-0408,C,3,10
1,3,CW,10,2.5,4.191,LL30-18-1-26-3.jpg:1738-0416,C,3,11
1,3,CW,11,2.5,3.636,LL30-18-1-26-3.jpg:1829-0426,C,3,12
1,3,CW,12,2.5,9.451,LL30-18-1-26-3.jpg:1713-1477,S,2,2
1,3,CW,13,2.5,9.339,LL30-18-1-26-3.jpg:1831-1463,S,2,3
1,3,CW,14,2.5,8.939,LL30-18-1-26-3.jpg:2215-1574,S,2,4
1,3,CW,15,2.5,8.741,LL30-18-1-26-3.jpg:2319-1567,S,2,5
1,3,CW,16,2.5,7.921,LL30-18-1-26-3.jpg:2554-1618,S,2,6
1,3,CW,17,2.5,6.889,LL30-18-1-26-3.jpg:2732-1623,S,2,7
1,3,CW,18,2.5,5.266,LL30-18-1-26-3.jpg:2901-1606,C,3,8
1,3,CW,19,2.5,4.836,LL30-18-1-26-3.jpg:3073-1592,C,3,9
1,3,CW,20,2.5,4.216,LL30-18-1-26-3.jpg:3276-1566,C,3,10
1,3,CW,21,2.5,3.934,LL30-18-1-26-3.jpg:3369-1616,C,3,11
1,3,CW,26,2.5,9.796,LL30-18-1-26-3.jpg:1423-2172,S,2,2
1,3,CW,27,2.5,9.423,LL30-18-1-26-3.jpg:1584-2153,S,2,3
1,3,CW,28,2.5,9.73,LL30-18-1-26-3.jpg:1842-2259,S,2,4
1,3,CW,29,2.5,9.079,LL30-18-1-26-3.jpg:2058-2285,S,2,5
1,3,CW,30,2.5,8.607,LL30-18-1-26-3.jpg:2189-2289,S,2,6
1,3,CW,31,2.5,8.168,LL30-18-1-26-3.jpg:2370-2256,S,2,7
1,3,CW,32,2.5,6.1,LL30-18-1-26-3.jpg:2590-2344,C,3,8
1,3,CW,33,2.5,5.593,LL30-18-1-26-3.jpg:2666-2308,C,3,9
1,3,CW,34,2.5,4.904,LL30-18-1-26-3.jpg:2780-2261,C,3,10
1,3,CW,35,2.5,4.082,LL30-18-1-26-3.jpg:3057-2244,C,3,11
1,4,CW,1,2.5,9.156,LL30-18-1-26-3.jpg:2761-0882,S,2,5
1,4,CW,2,2.5,8.706,LL30-18-1-26-3.jpg:2876-0865,S,2,6
1,4,CW,3,2.5,7.938,LL30-18-1-26-3.jpg:3052-0907,S,2,7
1,4,CW,4,2.5,5.413,LL30-18-1-26-3.jpg:3260-0906,C,3,8
1,4,CW,5,2.5,4.857,LL30-18-1-26-3.jpg:3357-0889,C,3,9
1,4,CW,6,2.5,4.396,LL30-18-1-26-3.jpg:3439-0885,C,3,10
1,4,CW,7,2.5,4.243,LL30-18-1-26-3.jpg:3543-0886,C,3,11
1,4,CW,8,2.5,3.533,LL30-18-1-26-3.jpg:3610-0893,C,3,12